name,Дата обследования,Рассчитанный TP,Рассчитанный SI
trofim,2026-08-26 09:51:00,6465.5953132666355,31.251713361478156
trofim,2026-08-25 09:19:00,3387.7443994132764,60.01304631441617
trofim,2026-08-24 09:08:00,1487.922991429134,133.77746067564877
trofim,2026-08-22 10:17:00,2229.9428850376307,91.70334800586902
trofim,2026-08-21 11:04:00,1541.9315084489608,84.2069807587049
trofim,2026-08-20 09:15:00,5524.947706059511,38.90445066915655
trofim,2026-08-19 08:50:00,8626.830485409482,21.082462716703965
trofim,2026-08-18 08:54:00,1396.8318989355055,116.352685522646
trofim,2026-08-17 09:14:00,5194.842202148546,22.431317285705052
trofim,2026-08-15 09:14:00,18827.28836636218,15.253549026761736
trofim,2026-08-14 09:23:00,3995.122257609211,47.35345649349714
trofim,2026-08-13 09:16:00,9988.36031732031,33.79808144455939
konst,2026-08-19 08:49:00,758.6929628899696,183.41600344503104
konst,2026-08-18 09:05:00,2271.3820726079657,56.58436213991769
konst,2026-08-17 08:54:00,4455.352647413396,52.91441608598248
konst,2026-08-15 09:07:00,3312.3943604393044,58.14726209463051
konst,2026-08-14 08:59:00,5554.406199785788,41.13467862150939
konst,2026-08-13 08:44:00,3267.523762787267,84.41844229952041
konst,2026-08-12 08:52:00,6641.941444903239,28.58152490230315
konst,2026-08-11 08:48:00,2077.2543123963483,77.87705808430425
konst,2026-08-08 09:16:00,2841.5619170990303,42.56973864636416
konst,2026-08-07 08:47:00,1459.0762923351328,40.936785986290936
konst,2026-08-06 08:45:00,4816.423596664463,20.590797497426152
konst,2026-08-05 09:09:00,2406.9585040764177,62.563975192678235
konst,2026-08-04 08:38:00,2029.6596596579832,111.81687541984472
andr,2026-08-24 09:05:00,2148.7563068170048,67.10859442108597
andr,2026-08-20 09:15:00,4478.076677768051,41.22147473948028
andr,2026-08-19 09:01:00,2772.2104810175224,50.66420268088874
andr,2026-08-18 09:06:00,752.1913205195924,33.959053143977656
andr,2026-08-17 09:00:00,1764.0838702969365,68.24842426432214
andr,2026-08-14 09:06:00,1608.5728908120798,81.96349659764297
andr,2026-08-13 08:59:00,2603.4872751051907,50.17467057192851
andr,2026-08-12 09:05:00,5688.87109559575,32.480708063395916
andr,2026-08-03 08:59:00,5768.079028741894,48.02792023096093
fil,2026-08-26 09:51:00,2640.4263304502033,86.73361216583469
fil,2026-08-25 09:18:00,3021.440977443631,45.73701217996519
fil,2026-08-24 09:04:00,11207.696340614495,20.110336274073898
fil,2026-08-22 09:05:00,13631.525362804798,15.223072191420588
fil,2026-08-21 10:01:00,2209.400714260673,106.93107805968698
fil,2026-08-20 09:08:00,13923.090041983516,17.659885270722707
fil,2026-08-19 08:49:00,4093.603807640015,15.660843170446539
fil,2026-08-18 08:51:00,10813.63855707112,21.59277937457714
fil,2026-08-17 08:54:00,11621.153225116414,20.837037695590322
fil,2026-08-15 09:07:00,8496.855023613563,23.86603298065456
fil,2026-08-08 09:17:00,7623.315804861087,25.455034191201925
fil,2026-08-07 08:47:00,14689.594537902716,10.21650490261464
fil,2026-08-06 08:45:00,12495.876841908965,25.397311364079155
fil,2026-08-05 09:09:00,4334.28369335056,32.39013266998342
fil,2026-08-03 08:54:00,7875.381783727884,24.3088507553246
